id,count
351,14632
2329,11007
2352,10268
3511,7974
3828,7052
2396,5239
3907,4169
2734,4154
1596,4112
4158,3953
2012209,3864
2673,3539
2665,3388
2725,3289
216,3236
2066,2924
2511,2907
1524,2818
1760,2792
1177,2759
3960,2629
565,2612
3926,2545
3737,2540
1184,2527
3596,2433
4095,2374
4140,2296
2276,2253
2758,2222
615,2173
3165,2172
2134,2138
1186,2137
3534,2129
2434,2114
704,2021
2212,2019
2351,1980
3948,1967
812,1873
3912,1838
2116,1796
2443,1791
643,1782
3450,1772
2819,1751
3788,1732
3762,1697
3766,1690
2007,1688
2012285,1677
3593,1670
3827,1642
3205,1621
3653,1616
3440,1612
3164,1570
3938,1568
3983,1556
2450,1545
3899,1538
3908,1538
3222,1488
3250,1487
1383,1486
955,1469
2065,1460
2555,1458
3904,1442
3579,1441
3682,1435
3527,1422
3818,1417
3352,1405
3823,1393
2831,1388
3246,1381
3093,1371
2356,1367
2856,1351
3692,1349
3387,1340
3910,1313
2289,1293
3009,1289
2840,1286
3803,1282
514,1280
662,1262
3561,1251
4085,1239
2720,1237
3824,1233
3819,1212
2669,1210
3263,1204
1157,1203
3233,1203
2527,1200
3210,1197
3856,1190
3952,1189
3982,1185
3822,1183
3830,1182
1127,1162
2649,1162
2654,1162
3228,1159
3648,1155
1013,1154
1848,1152
1492,1148
301,1140
3672,1139
3861,1130
2314,1124
3903,1114
3116,1110
4011,1106
2770,1102
3829,1096
3922,1093
3954,1092
3563,1091
2494,1089
2551,1087
3906,1083
3601,1080
3913,1075
3885,1072
2096,1070
2466,1069
3424,1069
1027,1067
3826,1067
3880,1066
3889,1059
3267,1058
1228,1056
4034,1055
3026,1051
3862,1042
2735,1041
3980,1040
2035,1039
2691,1038
1330,1036
3892,1035
506,1033
2070,1030
3698,1026
3717,1024
3838,1019
2728,1014
3211,1011
1986,1007
1484,1005
2750,1005
2821,999
3944,995
3915,984
2637,982
3927,982
1019,980
1942,976
3308,976
2327,975
3214,971
3814,971
2025,967
2729,965
3203,965
3932,964
2256,958
1757,955
3584,953
3625,953
669,952
2865,949
1461,942
